Batman Begins,"28,80,18"
Fanaa,"28,18,10749,53"
See No Evil,"27,53"
Bug,"27,53"
Little Miss Sunshine,"35,18"
Deck the Halls,"35,10751"
Breaking and Entering,"18,10749"
Cow Belles,"10770,35,10751,10749"
Save the Last Dance 2,"18,10751,10749"
Hollow Man II,"27,28,53,878"
Superman II: The Richard Donner Cut,"14,10749,28,12,878"
The Boss of It All,35
Facing the Giants,18
The Good German,"18,53,9648"
The Bridge,99
Olè,35
Renaissance,"28,16,878"
I Do,"35,10749"
The Ex,"35,10749"
Hoot,"18,10751"
Running with Scissors,"18,35"
Pokémon Ranger and the Temple of the Sea,"16,10751"
Unaccompanied Minors,"35,10751"
Jesus Camp,99
Ghost in the Shell: Stand Alone Complex - Individual Eleven,"16,878"
Satan,"35,27,53"
Starter for 10,"18,35,10749"
Origin: Spirits of the Past,"878,12,16,18,14,10749,28"
Dhoom 2,"18,28,53,80"
The Science of Sleep,"35,18,14"
Don,"28,18,53"
200 Pounds Beauty,"18,35,10749"
A Guide to Recognizing Your Saints,"80,18"
Return to Halloweentown,"10751,14,35,10770"
Rang De Basanti,"35,18,36"
The History Boys,"35,18"
Skinwalkers,"14,28,27"
Azur & Asmar: The Princes' Quest,"16,10751"
The Unknown Woman,"18,9648"
The Land Before Time XII: The Great Day of the Flyers,"16,10751,878"
The Ultimate Gift,"10749,18,10751"
Man of the Year,"35,18,10749,53"
Fast Food Nation,"35,18,53"
Let's Go to Prison,"35,80"
The Woods,"9648,27,53"
Thr3e,"18,27,53"
Flicka,"18,10751"
Who Killed the Electric Car?,99
Ultimate Avengers 2,"12,16,28,878"
Election 2,"18,80"
Attack Force,"28,53"
The Night Before the Exams,35
Rest Stop,"27,53"
Priceless,"18,35,10749"
Copying Beethoven,18
If I Were You,35
Friends with Money,"35,18,10749"
Like Minds,"9648,53,80,27"
Camping,35
Jean-Philippe,35
Stay Alive,"27,53"
The Hamiltons,"18,27,53"
My best enemy,35
The Secret,99
This Film Is Not Yet Rated,99
Teen Titans: Trouble in Tokyo,"28,12,16,10751,878"
The Elementary Particles,"18,10749"
The Abandoned,"27,53"
The Darwin Awards,"35,10749,12"
The Last Winter,"27,53"
The Valet,35
Alien Autopsy,"35,878"
.45,"18,80,53"
Waist Deep,"28,12,18,53"
The Nativity Story,"18,36"
Behind Enemy Lines II: Axis of Evil,"28,12,53"
Annapolis,18
The Exterminating Angels,"18,14"
7 Dwarves: The Forest Is Not Enough,35
Deliver Us from Evil,"80,99"
Torn Apart,"18,10749"
Wilderness,"27,28,53"
Altered,"27,878,53"
Doctor Who: The Runaway Bride,"878,10770,18,35"
A House of Your Dreams,35
Art School Confidential,"35,18"
My Best Friend,35
Exiled,"28,80,53"
Conversations with Other Women,"18,10749"
Natale a New York,35
Detective Conan: The Private Eyes' Requiem,"16,9648"
One Piece: Giant Mecha Soldier of Karakuri Castle,"28,16,35"
The Namesake,18
Sherrybaby,18
Drake & Josh Go Hollywood,"10770,10751,35,12,80"
Aquaman,"28,12,10770"
Right at Your Door,"18,53"
The Pet,"18,53"
The Bothersome Man,"35,18,14"
Lage Raho Munna Bhai,"35,18,10749"
Taxidermia,"18,27,35"
House of the Dead 2,"10770,27"
Something New,"35,18,10749"
Snow Cake,"10749,18"
Wicked Little Things,"14,27"
Ask the Dust,"18,10749"
The Ordeal,27
The Caiman,"18,35"
The Family Friend,18
My Wife Is a Gangster 3,"28,35,18"
The Backwoods,"27,53"
10th & Wolf,"28,80,18,9648,53"
Desperation,"18,14,27,53,9648"
Memories of Matsuko,"35,18"
A Dirty Carnival,"80,18,28"
Where Is Fred?,35
The Hoax,"35,18"
Bleach: Memories of Nobody,"14,16,878"
Anplagghed al cinema,
Venus,"35,18,10749"
Red Road,"18,53"
The Baby's Room,"27,9648,53,10770"
Evil Aliens,"35,27,878"
Daisy,"18,10749"
Hui Buh: The Castle Ghost,"16,14,12,35"
The Detonator,"28,53"
Glass House: The Good Mother,"18,53"
The XXXorcist,27
Driving Lessons,"35,18"
Kabhi Alvida Naa Kehna,"18,10749"
Time,"10749,18,9648"
Cocaine Cowboys,"28,99"
Kidulthood,18
Jesse Stone: Night Passage,"10770,18,53,80"
The Cloud,"878,53"
Krrish,"28,878"
2:37,18
Man About Town,"35,18,10749"
Griffin & Phoenix,"35,18,10749"
Sweeney Todd,"18,27,53,10402"
The Ugly Duckling and Me!,"10751,16,35"
Scooby-Doo! Pirates Ahoy!,"14,16,35,10751,9648,12"
Outsourced,"35,18,10749"
Fallen,"10770,18,14"
The Zodiac,"80,18,53"
Home of the Brave,"28,18,10752"
The Island,18
First Snow,"18,53"
End Game,"28,53"
Incontrôlable,35
Away from Her,"18,10749"
13 Beloved,"9648,35,27,53,80,18"
Irresistible,"18,9648,53"
Poultrygeist: Night of the Chicken Dead,"27,35"
Gone,"80,18,27,9648,53"
The Hard Corps,"28,12,10749,53"
Mini's First Time,"35,80,18"
The Oh in Ohio,"35,18,10749"
Unrest,27
Hellboy Animated: Sword of Storms,"10770,14,16,28,53,878"
The Little Matchgirl,"18,16"
Trailer Park Boys: The Movie,35
Shadow Man,"28,12,53"
The Cutting Edge: Going for the Gold,"35,18,10749"
The Christmas Card,"18,10749,10770"
Deep Sea 3D,99
Comme t'y es belle,35
12:08 East of Bucharest,"35,18"
Another Gay Movie,"35,10749"
London to Brighton,"80,18,53"
For Your Consideration,"35,18"
Locked Out,35
Jesse Stone: Death in Paradise,"18,53,80,9648"
Dorm Daze 2,35
The City of Violence,"28,53"
Second In Command,"28,12,53"
Nikitich and The Dragon,"12,16,35,18,14"
It's Gradiva Who Is Calling You,"27,18"
The Alibi,"10749,35,18"
The Tripper,27
Grimm Love,"18,53"
Five Fingers,"18,28,53"
Kiwi!,"16,28"
Imprint,27
Tom and Jerry: Shiver Me Whiskers,"16,35,10751"
Doogal,"35,10751,16,14,12"
Flight 93,"18,53,10770"
A Ticket to Space,"35,878"
Eccezzziunale... veramente - Capitolo secondo... me,35
Shooting Dogs,"18,36"
"Bah, Humduck!: A Looney Tunes Christmas","16,10751,35"
Creepshow 3,"27,878"
Heavenly Forest,"18,10749"
The Banquet,"14,18,28,36"
Mammoth,"28,35,878,27"
Avenue Montaigne,"35,18,10749"
Odette Toulemonde,"35,18"
Doraemon: Nobita's Dinosaur,"16,12,10751"
Payback: Straight Up,"28,80,18,53"
Impy's Island,"16,10751,14"
Bickford Shmeckler's Cool Ideas,35
Catch a Fire,"28,18,53"
Crayon Shin-chan: The Legend Called: Dance! Amigo!,"35,16"
The Tiger Brigades,"28,12,80"
The Beautiful Beast,"18,53"
Tazza: The High Rollers,"80,35"
Re-cycle,"14,27,9648,53"
The Pervert's Guide to Cinema,99
Bella,"18,10749"
Winter Passing,"35,18"
Penny Dreadful,"27,53"
Battle of the Warriors,"36,18,28,10752"
Pumpkinhead: Ashes to Ashes,"27,14,10770"
Wolfhound of the Grey Dog Clan,14
Madame Irma,35
The Chinese Botanist's Daughters,18
Eating Out 2: Sloppy Seconds,"35,10749"
One to Another,18
Simon Says,"27,53"
Питер FM,"35,18,10749"
Pledge This!,35
Requiem,"18,27"
Danika,"18,27,53"
Destricted,"99,18"
Whirlygirl,"10749,18"
Disaster Zone: Volcano in New York,"28,53,878"
5ive Girls,"27,53"
Electroma,878
Crusade in Jeans,"12,14,36"
Abominable,"27,53"
Scenes of a Sexual Nature,"35,18,10749"
One Night with the King,18
Jindabyne,"80,18,9648,53"
Farce of the Penguins,"35,99"
Earthstorm,"10770,28,878,53"
Dark Ride,"27,53"
The Foot Fist Way,35
Old Joy,18
Minotaur,"27,12,14"
This Is England,"18,80"
Vitus,"10402,18"
Jeff Dunham: Arguing with Myself,35
Big Bad Wolf,27
The Fast and the Furious: Tokyo Drift,"28,80,18,53"
The TV Set,35
The Hairy Tooth Fairy,
Karla,"80,18,53"
Sharkwater,99
Reefer Madness: The Movie Musical,"35,10402"
Hula Girls,"35,18,10751"
Sakuran,"36,18"
Silk,"18,27,53,878,9648"
Confetti,"35,10749"
The Road to Guantanamo,"99,18"
Still Life,18
Fatal Contact: Bird Flu in America,"28,18,53"
Breaking the Surface,18
Pingpong,18
Dreamland,"18,10749,878"
Hammy's Boomerang Adventure,"35,10751,16"
Mercenary for Justice,"28,53"
"Hello Sister, Goodbye Life","18,10770"
Four Minutes,"18,10402"
Free Jimmy,"16,35"
The Celestine Prophecy,"10749,18,12"
Frostbitten,"35,27"
Elephants Dream,"16,878"
Superman: Brainiac Attacks,"16,28,10751,878"
Bonneville,"35,18"
ATL,"18,35,9648"
Mulberry Street,27
Bottoms Up,"10749,35"
Day of Wrath,"80,12,18,28,53,9648"
Surf School,35
How to Eat Fried Worms,"35,18,10751"
Power Rangers Mystic Force: Dark Wish,"28,12,14"
Special,"18,14,878"
Comeback Season,"35,10751,10749"
Drained,35
The Snake,53
Love and Honor,"18,10749"
In Paris,"35,18"
As You Like It,"35,18,10749"
Hard Luck,"80,18,53"
Klimt,"18,10749"
I Served the King of England,"35,18"
A Millionaire's First Love,"10749,18"
Napoleon and Me,"35,10752,36"
Grbavica: The Land of My Dreams,"18,36"
Dark Blue Almost Black,18
Bewitching Attraction,"35,10749"
Crossover,"28,12,18"
Piranha Hunt,"10770,28,80,53"
Takva: A Man's Fear of God,18
Golden Door,"36,18,10749"
The Man of My Life,"18,35,10749"
Journey to the End of the Night,"18,53"
Banshee,"18,80,53"
Fist of the North Star: Legend of Raoh - Chapter of Death in Love,"16,28"
Devil's Den,"28,27,53"
The Curse of King Tut's Tomb,"28,12,14,53"
Idlewild,"80,18,10402"
The Initiation of Sarah,"18,27,53"
Vampire Cop Ricky,"28,35,80,14,10749"
Grilled,"18,28,35"
TKKG - The Secret of the Mysterious Mind Machine,"10751,12"
Gray Matters,"35,10749"
A Friend of Mine,18
Slaughtered Vomit Dolls,27
The Lost,"27,80,18,53"
The Magician,"35,18"
The Bubble,"18,10749"
The Singer,"18,10749"
The Ron Clark Story,"10770,18"
The Last Time,"18,10749"
One Missed Call 3: Final,27
Beer League,35
Golmaal - Fun Unlimited,"35,10751"
Summer Rain,"18,10749"
Grave Decisions,"18,35"
Ring Around the Rosie,"27,9648,53"
Like Mike 2: Streetball,"35,18,10751"
The Maidens' Conspiracy,12
Summer Palace,"18,10749"
Bernard and Doris,"35,18"
Sisters,"9648,53,27"
The Pumpkin Karver,"35,27"
Lights in the Dusk,"80,18"
Wordplay,99
Sick Girl,27
Bastards,"28,18,10752"
French for Beginners,"35,18"
Dark Storm,"10770,878"
Candy Stripers,27
Larry the Cable Guy: Health Inspector,35
Sharpe's Challenge,"28,12,10752,36,10770"
Unholy Women,27
The Zombie Diaries,"27,28,53"
Naked,18
Comrade,"28,18"
Cannibal,"18,27,53,80"
One Way,"80,9648,53"
To Let,"10770,53,27"
Brave Story,"878,16,14"
Going to Pieces: The Rise and Fall of the Slasher Film,"99,27"
Volando voy,18
Humko Deewana Kar Gaye,"18,10749"
Reprise,18
The Last Train,"18,10752"
Dirty Sanchez: The Movie,35
Harry Potter and the Order of the Phoenix,"12,14,10751,9648"
Spider-Man 3,"14,28,12"
Pirates of the Caribbean: At World's End,"12,14,28"
The Golden Compass,"12,14"
Hairspray,"10751,35,10402,10749"
Wrong Turn 2: Dead End,"27,53"
Fantastic Four: Rise of the Silver Surfer,"12,14,28,53"
Ratatouille,"16,35,10751,14"
National Treasure: Book of Secrets,"28,12,9648,53"
Zodiac,"80,18,9648,53"
Live Free or Die Hard,"28,53"
I Am Legend,"18,27,28,53,878"
The Simpsons Movie,"16,35,10751"
The Bourne Ultimatum,"28,18,9648,53"
Shrek the Third,"14,12,16,35,10751"
No Country for Old Men,"80,18,53"
Alvin and the Chipmunks,"35,10402,10751,14,16"
Shooter,"28,18,9648,53,80"
Hot Fuzz,"80,28,35"
3:10 to Yuma,37
Enchanted,"35,10751,14,10749"
Sweeney Todd: The Demon Barber of Fleet Street,"18,27"
Superbad,35
Eastern Promises,"53,80,9648"
28 Weeks Later,"27,53,878"
Into the Wild,"12,18"
Bridge to Terabithia,"12,18,10751"
Ghost Rider,"53,28,14,27"
Bee Movie,"10751,16,12,35"
Juno,"35,18,10749"
Reign Over Me,18
300,"28,12,10752"
Meet the Robinsons,"16,35,10751"
Stardust,"12,14,10749,10751"
War,"28,53,80"
Aliens vs Predator: Requiem,"14,28,878,53,27"
American Pie Presents: Beta House,35
There Will Be Blood,18
Knocked Up,"35,10749,18"
The Great Debaters,18
Saw IV,"27,53,80"
Beowulf,"12,28,16"
5 Centimeters per Second,"16,18,10749"
Death Proof,"28,53"
Hitman,"28,80,18,53"
Surf's Up,"16,35,10751"
Ocean's Thirteen,"80,53"
Gone Baby Gone,"80,18,9648"
Planet Terror,"27,28,53"
Atonement,"18,10749"
In the Name of the King: A Dungeon Siege Tale,"12,14,28,18"
Halloween,27
American Gangster,"18,80"
Elizabeth: The Golden Age,"18,36,10749"
The Jane Austen Book Club,"35,10749"
Becoming Jane,"18,10749"
Shrek the Halls,"12,16,35,14,10751"
Blades of Glory,35
Next,"28,878,53"
Manual of Love 2,"35,18"
Across the Universe,"18,10749,14"
88 Minutes,"80,9648,53"
1408,"27,53"
[REC],"27,9648"
Taxi 4,"28,35"
Cinderella III: A Twist in Time,"16,10749,10751,14"
Fracture,53
Mongol: The Rise of Genghis Khan,"36,12,10752,28"
Evan Almighty,"14,35,10751"
Charlie Wilson's War,"35,18,36"
We Own the Night,"18,80,53"
The Bucket List,"18,35"
Big Stan,35
TMNT,"12,16,35,10751"
I Now Pronounce You Chuck & Larry,"35,10749"
The Game Plan,"35,10751"
The Last Mimzy,"10751,18,878,12"
Walk Hard: The Dewey Cox Story,"35,10402,18"
Cleaner,"80,53,9648"
The Mist,"27,878,53"
Fred Claus,"28,35,18"
Mr. Magorium's Wonder Emporium,"35,10751,14"
Michael Clayton,"18,53"
Underdog,"28,12,35,10751,14"
The Heartbreak Kid,"35,10749"
Barbie Fairytopia: Magic of the Rainbow,"16,10751,14,10749"
The Man from Earth,"878,18"
Death at a Funeral,"35,18"
Frontier(s),"18,27,28,53"
Shoot 'Em Up,"28,53,35,80"
Once,"18,10402,10749"
Family Guy Presents: Blue Harvest,"16,35,14,878"
Death Sentence,"28,80,18,53"
Before the Devil Knows You're Dead,"80,18,53"
P2,"27,53"
The Orphanage,"27,18,53"
Hostel: Part II,27
License to Wed,35
Elite Squad,"18,28,80"
Detective Conan: Jolly Roger in the Deep Azure,"16,12"
Grindhouse,"53,28,27"
Mr. Brooks,"18,80,9648,53"
High School Musical 2,"35,18,10751,10402"
The Darjeeling Limited,"12,18,35"
The Mother of Tears,27
Freedom Writers,"80,18"
August Rush,"10751,18,10402"
Norbit,35
Awake,"53,80,9648"
The Warlords,"28,18,36"
Pokémon: The Rise of Darkrai,"12,16,10751,14"
In the Valley of Elah,"36,18,53,80,9648"
Flawless,"80,18,53"
Rush Hour 3,"28,35,80,53"
Mr. Bean's Holiday,"10751,35"
Earth,99
Mr. Woodcock,"35,10749"
The Invasion,"878,53,18,27"
The Number 23,"53,18,9648"
"Lust, Caution","28,18,10749,53"
The Reaping,27
The Last Legion,"28,12,14,10752"
Timecrimes,"878,53"
The Assassination of Jesse James by the Coward Robert Ford,"28,18,37"
Dead Silence,27
Boy A,"80,18"
Vacancy,"27,53"
P.S. I Love You,"18,10749"
Virgin Territory,"12,28,35,10749"
La Vie en Rose,"10402,18"
"4 Months, 3 Weeks and 2 Days",18
Doctor Strange,"28,16,14,878"
Disturbia,"53,18,9648"
The Seeker: The Dark Is Rising,"12,18,14,10751,53"
Dan in Real Life,"35,10749,18"
Lions for Lambs,"28,12,18,36"
Ghost in the Shell: Stand Alone Complex - Solid State Society,"16,28,53,80,878"
The Hitcher,"28,27,80,53"
Feast of Love,"18,10749"
The Condemned,"28,53"
Good Luck Chuck,35
The Diving Bell and the Butterfly,18
The Kingdom,"53,28,18"
Cassandra's Dream,"80,18,53,35,9648"
The Water Horse,"12,10751,14"
30 Days of Night,"27,53"
Arn: The Knight Templar,"28,12,18,10749"
The Death and Life of Bobby Z,"18,28,53,80"
Wild Hogs,"28,12,35"
Superman: Doomsday,"28,16,878,10751"
Wind Chill,"18,27,53"
Sunshine,"878,53"
Whisper,"80,18,27,53"
Lars and the Real Girl,"35,18,10749"
Hot Rod,"28,35"
Stomp the Yard,"18,10402"
Premonition,"53,18,9648"
Sleuth,"18,53,9648"
Perfect Stranger,"80,18,9648,53"
Pathfinder,"12,28"
Georgia Rule,"35,18,10749"
The Messengers,"9648,53,27"
The Hills Have Eyes 2,"27,53"
Music and Lyrics,"35,10402,10749"
Water Lilies,"18,10749"
I Could Never Be Your Woman,"35,18,10749"
Things We Lost in the Fire,18
99 francs,"18,35"
Barbie as the Island Princess,"16,10751"
He Was a Quiet Man,"35,18,10749"
The Kite Runner,18
Sydney White,35
The Air I Breathe,"53,80"
Are We Done Yet?,"35,10751"
Persepolis,"16,18"
The Poughkeepsie Tapes,"27,53"
Species: The Awakening,"27,878,53"
My Blueberry Nights,"18,10749"
An American Crime,"80,18"
Smiley Face,35
Northanger Abbey,"18,10749,10770"
Futurama: Bender's Big Score,"16,35,878"
The Nanny Diaries,"35,18,10749"
Appleseed: Ex Machina,"16,28,53,878"
Lucky You,"18,10749"
Hotel Chevalier,"10749,18"
Zeitgeist,"99,36"
Prey,"12,27,53"
Return to House on Haunted Hill,"27,53"
Jackass 2.5,"35,99"
Battle for Terra,"28,12,16,878"
Bratz,35
Resurrecting the Champ,18
Hansel & Gretel,"14,18,27"
Hunting and Gathering,"10749,18"
Taare Zameen Par,18
Trick 'r Treat,"27,53,35"
Fermat's Room,"9648,53"
Gabriel,"14,27,28,878"
Evangelion: 1.0 You Are (Not) Alone,"16,878,28,18"
Goal! II: Living the Dream,18
Sex and Death 101,"35,10749,18"
The Savages,18
Trade,"18,53"
Dragon Wars: D-War,"14,18,27,28,53,878"
Highlander V: The Source,"28,14,878"
The Nines,"18,14,9648,878,53"
Rise: Blood Hunter,"28,12,27,53"
Breach,"18,53,80,36"
The Visitor,"80,18,10402"
Butterfly on a Wheel,"80,18,53"
Reno 911!: Miami,"28,12,35,80"
Nancy Drew,"28,12,80,10751,9648,53,35"
Savage Grace,18
Bordertown,"80,18,9648"
Daddy Day Camp,"35,10751"
I Know Who Killed Me,"80,27,9648,53"
St. Trinian's,"35,10751,878"
The Girl Next Door,"53,80,18,27"
The Babysitters,18
No Reservations,"35,10749,18"
Rendition,"18,53"
A Secret,18
Robot Chicken: Star Wars,"16,35,878"
Om Shanti Om,"35,18,10749"
Sicko,99
Waitress,"35,10749"
Epic Movie,"28,12,35"
Love Songs,"18,10749"
Code Name: The Cleaner,"28,35,80"
Battle in Seattle,"28,18"
Funny Games,"80,27,53,18"
My Name Is Bruce,"35,27"
White Noise 2: The Light,"53,18,27,14"
Firehouse Dog,"28,35,10751"
City of Men,18
The Brave One,"80,18,53"
The Lookout,"80,18,53"
Crows Zero,28
Transformers: Beginnings,"16,28,53,878"
The Fox and the Child,35
Captivity,"80,27,53"
After Sex,"35,10749,18"
The Pixar Story,99
Shelter,"18,10749"
Boogeyman 2,"27,53"
Counter Investigation,53
Son of Rambow,35
The King of Kong: A Fistful of Quarters,99
Sword of the Stranger,"28,16,36"
Postal,"28,35"
Silk,"18,10749"
Saturn in Opposition,18
Love in the Time of Cholera,"18,10749"
Because I Said So,"35,10749"
Paranoid Park,"9648,80,18"
Murder Party,"35,27"
Reservation Road,"18,80,53"
The Land Before Time XIII: The Wisdom of Friends,"10751,16"
Rogue,"28,27,53"
Joshua,"18,53,27"
The Comebacks,35
I'm Not There.,"18,10402"
Diary of the Dead,"27,28,878"
I Want You,"10749,35"
December Boys,"18,10749"
Margot at the Wedding,"35,18"
The Counterfeiters,"18,10752"
WΔZ,"80,18,27,53"
Chapter 27,18
Rabbit Without Ears,"18,35,10749"
Mi fido di te,35
Borderland,"80,27,53"
The Invisible,"80,18,14,9648,53,878"
Jump In!,"18,35,10749"
Persuasion,"18,10749,10770"
"Run, Fatboy, Run","35,10749"
Jesse Stone: Sea Change,"10770,18,53,80"
Hellboy Animated: Blood and Iron,"10770,14,16,27,28,53,878"
Winx Club: The Secret of the Lost Kingdom,"14,16,10751"
Live!,53
In the Land of Women,"10749,35,18"
Shrooms,27
The Dukes of Hazzard: The Beginning,"28,12,35"
Outlaw,"28,80,53"
The Night Before the Exams Today,35
Then She Found Me,"35,18,10749"
King of California,"35,18"
Lezioni di cioccolato,35
Flash Point,28
Blood and Chocolate,"18,14,27,10749"
Control,18
The Edge of Heaven,18
Lissi and the Wild Emperor,"16,35"
XXY,18
Rise of the Footsoldier,"28,12,80,18,53"
Black Water,"12,18,27"
The Ten,35
Ben X,18
Eagle vs Shark,"35,10749"
I Think I Love My Wife,"35,10749"
Inside,27
The Hunting Party,"28,12,53,18"
Martian Child,"18,35"
The Brothers Solomon,35
Meet Bill,"35,18,10749"
Vexille,"16,878,28"
Until Death,"28,18,53"
Eden Log,"28,12,18,27,878,53"
Suburban Girl,"35,18,10749"
A Mighty Heart,"18,53"
Naruto Shippuden: The Movie,"10751,28,16,12,14"
"You, the Living","18,35,10402"
You Kill Me,"35,80,53,10749"
The Secret of the Grain,"35,18"
Super High Me,"35,99"
The Flock,"80,18,9648,53"
Jack Brooks: Monster Slayer,"28,35,27"
Come tu mi vuoi,35
Battlestar Galactica: Razor,"878,28,18,53,10770"
Holiday in Handcuffs,"10770,35,10749,10751"
My Brother Is an Only Child,35
7 and 8,35
Primeval,12
BloodRayne: Deliverance,"28,27,37"
The Vexxer,"35,80"
Youth Without Youth,"14,18,9648"
Catacombs,"27,53"
2 Days in Paris,"35,10749"
Twitches Too,"18,10751,14,10770"
Encounters at the End of the World,99
Death Defying Acts,"18,10749,53"
Oh My God!,"10402,35"
The Contractor,"28,12,18,53"
Jab We Met,"18,35,10749"
Temptation of Eve: Her Own Technique,
Ten Inch Hero,"35,18,10749"
Matrimonio alle Bahamas,
Married Life,"80,18,10749"
To Each His Own Cinema,"35,18"
Stuart: A Life Backwards,18
12,"80,18,9648"
Anamorph,"80,53"
Timber Falls,"27,53"
Hogfather,"18,14,10770"
Surviving with Wolves,18
Angel,"10749,18"
Transformers,"12,878,28"
Una moglie bellissima,35
Slipstream,"14,18"
Sukiyaki Western Django,"12,28,35,37,53"
